# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Taxonomy information extracted from EMO taxonomy_info.csv.
# ----------------------------------------------------------------------

Taxon name	Type	ORID	WOD included	AphiaID_of the accepted name	Accepted name	Order	Family	Genus	Species	Identifier	Description	Remarks
Bairdoppilata kakdiensis		718	Y	775417.0	Bairdoppilata kakdiensis (Khosla & Pant, 1988)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata kakdiensis	Khosla & Pant, 1988	Khosla, S. C.; Pant, P. C. (1988). Ostracoda from the Eocene and Oligocene beds of Kachchh, Gujarat, part 1 - families Cytherellidae, Bairdiidae and Trachyleberididae. Indian Journal of Earth Sciences. 15: 325-346.	
Bairdoppilata poddari 		827/883/959	Y	799609.0	Bairdoppilata poddari (Luebimova & Mohan, 1960)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata poddari	Luebimova & Mohan, 1960		
Bairdoppilata sp.		222/327	Y	391219.0	Bairdoppilata (Coryell, Sample & Jennings, 1935)	Podocopida	Bairdiidae	Bairdoppilata		Coryell, Sample & Jennings, 1935	Coryell, H.N., Sample, C.H. & Jennings, P.H. (1935). Bairdoppilata, a new genus of Ostracoda, with two new species. American Museum Novitates. 777:1-5.	
Bisulcocythere eocenica		100	Y	600597.0	Bisulcocythere eocenica (Ayress & Swanson, 1991)	Podocopida	Leptocytheridae 	Bisulcocythere	Bisulcocythere eocenica	Ayress & Swanson, 1991	Ayress, M.A. and Swanson, K.M. (1991a) New fossil and recent genera and species of cytheracean Ostracoda (Crustacea) from South Island, New Zealand. New Zealand Natural Sciences 18, 1–18.	
Boldella deldenensis		647	Y	776133.0	Boldella deldenensis (Keij, 1957)			Boldella	Boldella deldenensis	Keij, 1957	Keij, A.J. (1957). Eocene and Oligocene Ostracoda of Belgium. Institut Royal des Sciences Naturelles de Belgique—Mémoire. 136:1-210.	
Brachycythere beershevaensis		667	Y_unaccepted_superseded original combination	1516355.0	Sapucariella beershevaensis (Honigstein, 1984)	Podocopida 						
Brachycythere foraminosa		286	Y_unaccepted_superseded original combination	1518128.0	Acuminobrachycythere foraminosa (Alexander, 1934)	Podocopida	Brachycytheridae	Acuminobrachycythere 	Acuminobrachycythere foraminosa	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Brachycythere formosa		285	Y_unaccepted_superseded combination	792264.0	Phacorhabdotus formosus (Alexander, 1934)	Podocopida	Trachyleberididae	Phacorhabdotus	Phacorhabdotus formosus	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Brachycythere interrasilis		284	Y_unaccepted_superseded original combination	790706.0	Opimocythere interrasilis (Alexander, 1934)	Podocopida	Brachycytheridae	Opimocythere	Opimocythere interrasilis	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Brachycythere martin		229	Y_unaccepted_superseded original combination	790707.0	Opimocythere martini (Murray, Jr & Hussey, 1942)	Podocopida	Brachycytheridae	Opimocythere	Opimocythere martini	Murray, Jr & Hussey, 1942	 Murray, Jr., G. & Hussey, K.M. (1942). Some Tertiary Ostracoda of the genera Alatacythere and Brachycythere. Journal of Paleontology. 16(2):164-182.	
