# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Occurrence records extracted from EMO occurrence_record.csv.
# ----------------------------------------------------------------------

ORID	Accepted Name	Superorder	Order	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Taxon name	Identifier	Synonym	Image	Type locality and horizon & Stratigraphical range	Description	Diagnosis	Remarks	Ecology	Dimensions(L*W*H)	Location	Sample site	Latitude(N>0)	Longitude(E>0)	Group	Formation	Member	Epoch	Epoch subdivision	Stage	Min Age (Ma)	Max Age (Ma)	Depositional Environment	Lithology	Specimen	Source File	Remarks.1
41											Reticulina ismaili	Bassiouni,Boukhary,Shama and Blondeau		4,12							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
42											Paracosta crassireticulata	Bassiouni		4,13							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
43											Cativella qurnenis	Bassiouni		4,14							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
44											Asymmetricythere yousefi	Bassiouni		4,15							Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
45											Ruggeria glabella	Bassiouni		4,16							Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
46											Cytherella tarabulusensis										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
47											Cytherella compressa										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
48											Krithe bartonensis										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
49											Loxoconcha punctatella										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
50											Nigeroloxoconcha sp.										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
